# m=1, k=39.4784, p=2
# x0=0, v0=1
# t_start=0, t_end=15, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
8.9500  -3.161181815697211e-02  6.091763910677526e-01  1.855479377171657e-01  1.972553046196164e-02
8.9600  -2.546474662329001e-02  6.198316518709385e-01  1.920956383305281e-01  1.279995549355977e-02
8.9700  -1.922337159956095e-02  6.280312930720190e-01  1.972116525388561e-01  7.294388051353012e-03
8.9800  -1.291240688612044e-02  6.337454250001622e-01  2.008166318543181e-01  3.291123249828696e-03
8.9900  -6.556816083295638e-03  6.369539921258952e-01  2.028551940425575e-01  8.486248502963580e-04
9.0000  -1.817138710480593e-04  6.376468423423302e-01  2.032967477745722e-01  6.517873112858724e-07
9.0100  6.187733208657003e-03  6.358237571123916e-01  2.021359250542588e-01  7.557756608267209e-04
9.0200  1.252640607488631e-02  6.314944424022475e-01  1.993926153924628e-01  3.097296014757222e-03
9.0300  1.880933214428774e-02  6.246784804758995e-01  1.951116019848393e-01  6.983553941947870e-03
9.0400  2.501178369078225e-02  6.154052427801981e-01  1.893618064206773e-01  1.234863827889737e-02
9.0500  3.110937514108859e-02  6.037137643028109e-01  1.822351546043350e-01  1.910347247985725e-02
9.0600  3.707815892335518e-02  5.896525799372490e-01  1.738450825133269e-01  2.713726428618462e-02
9.0700  4.289471949226380e-02  5.732795235383992e-01  1.643247060542070e-01  3.631929462677846e-02
9.0800  4.853626516153901e-02  5.546614904984908e-01  1.538246845210037e-01  4.650101688797980e-02
9.0900  5.398071738381485e-02  5.338741648164949e-01  1.425108119292550e-01  5.751843285916153e-02
9.1000  5.920679712823972e-02  5.110017117730390e-01  1.305613747174880e-01  6.919470736857362e-02
9.1100  6.419410801799748e-02  4.861364374574783e-01  1.181643179119244e-01  8.134297993937741e-02
9.1200  6.892321590304144e-02  4.593784165232769e-01  1.055142647837166e-01  9.376932877503955e-02
9.1300  7.337572455772420e-02  4.308350896717975e-01  9.280943724625287e-02  1.062758400726237e-01
9.1400  7.753434720860135e-02  4.006208324825108e-01  8.024852570949001e-02  1.186637340970022e-01
9.1500  8.138297361443116e-02  3.688564973190446e-01  6.802755780723717e-02  1.307364986517913e-01
9.1600  8.490673243821308e-02  3.356689301449636e-01  5.633681533233224e-02  1.423029805649035e-01
9.1700  8.809204866994048e-02  3.011904641803171e-01  4.535784785657745e-02  1.531803865667535e-01
9.1800  9.092669587850605e-02  2.655583924194042e-01  3.526062989218912e-02  1.631971464638048e-01
9.1900  9.339984309181665e-02  2.289144211115798e-01  2.620090609642484e-02  1.721955937737542e-01
9.2000  9.550209612556529e-02  1.914041063799105e-01  1.831776596954604e-02  1.800344219540993e-01
9.2100  9.722553320318394e-02  1.531762762168316e-01  1.173148579782755e-02  1.865908779749687e-01
9.2200  9.856373473217822e-02  1.143824401514007e-01  6.541671307494380e-03  1.917626592016201e-01
9.2300  9.951180712522947e-02  7.517618892907718e-02  2.825729690950153e-03  1.954694842943189e-01
9.2400  1.000664005780528e-01  3.571258658201890e-02  6.376944201890983e-04  1.976543140276383e-01
9.2500  1.002257207399245e-01  -3.852442704480084e-03  7.420657395650911e-06  1.982842034948331e-01
9.2600  9.998953423694960e-02  -4.336273050565864e-02  9.401631984531890e-04  1.973507730074409e-01
9.2700  9.935916803242455e-02  -8.266248041877192e-02  3.416542834491925e-03  1.948702910330074e-01
9.2800  9.833750263297979e-02  -1.215968822411542e-01  7.392900885384559e-03  1.908833686394188e-01
9.2900  9.692895917345136e-02  -1.600127216442746e-01  1.280203554400406e-02  1.854542710360273e-01
9.3000  9.513948043754460e-02  -1.977589829433862e-01  1.955430766740125e-02  1.786698578231707e-01
9.3100  9.297650589521635e-02  -2.346874425919999e-01  2.753909785518661e-02  1.706381693881235e-01
9.3200  9.044894086122282e-02  -2.706532510693756e-01  3.662659115721123e-02  1.614866824255790e-01
9.3300  8.756711990236542e-02  -3.055155008773336e-01  4.666986063816401e-02  1.513602627277464e-01
9.3400  8.434276464352533e-02  -3.391377784197668e-01  5.750721637574743e-02  1.404188481023744e-01
9.3500  8.078893614452280e-02  -3.713886976040361e-01  6.896478235401109e-02  1.288348984631579e-01
9.3600  7.691998204107993e-02  -4.021424130776886e-01  8.085926019797315e-02  1.167906537311262e-01
9.3700  7.275147866362687e-02  -4.312791110963556e-01  9.300083583403131e-02  1.044752431323262e-01
9.3800  6.830016836728733e-02  -4.586854761089244e-01  1.051961829966353e-01  9.208169173125470e-02
9.3900  6.358389232503596e-02  -4.842551312437761e-01  1.172515160679634e-01  7.980387156694067e-02
9.4000  5.862151905366468e-02  -5.078890509846480e-01  1.289756440550432e-01  6.783344553671820e-02
9.4100  5.343286895875713e-02  -5.294959444360847e-01  1.401829775871307e-01  5.635685219079299e-02
9.4200  4.803863520028783e-02  -5.489926076960595e-01  1.506964416524597e-01  4.555237885993349e-02
9.4300  4.246030119467512e-02  -5.663042439766838e-01  1.603502483730017e-01  3.558736905219462e-02
9.4400  3.672005508206835e-02  -5.813647502424989e-01  1.689924864122616e-01  2.661560784741387e-02
9.4500  3.084070149929270e-02  -5.941169692691557e-01  1.764874865867835e-01  1.877492612652485e-02
9.4600  2.484557100916231e-02  -6.045129061627771e-01  1.827179268586833e-01  1.218506094343301e-02
9.4700  1.875842754576661e-02  -6.125139085214519e-01  1.875866440661128e-01  6.945805237173336e-03
9.4800  1.260337424280164e-02  -6.180908095645368e-01  1.910181244340722e-01  3.135475457231853e-03
9.4900  6.404758018029101e-03  -6.212240337022005e-01  1.929596500246163e-01  8.097206091533887e-04
9.5000  1.870732914798802e-04  -6.219036641663219e-01  1.933820837517487e-01  6.908015703537976e-07
9.5100  -6.025134781941892e-03  -6.201294724738865e-01  1.922802813153704e-01  7.165776757743445e-04
9.5200  -1.220736718326303e-02  -6.159109096448121e-01  1.896731243097499e-01  2.941533215266113e-03
9.5300  -1.833526762143664e-02  -6.092670592470687e-01  1.856031747417856e-01  6.635967458422521e-03
9.5400  -2.438471846579345e-02  -6.002265524924663e-01  1.801359571584957e-01  1.173721966681692e-02
9.5500  -3.033193564119586e-02  -5.888274457559471e-01  1.733588804377365e-01  1.816059162888043e-02
9.5600  -3.615356211261102e-02  -5.751170610390809e-01  1.653798169491149e-01  2.580072609582603e-02
9.5700  -4.182675959175615e-02  -5.591517900440943e-01  1.563253621547575e-01  3.453330794322725e-02
9.5800  -4.732929810585006e-02  -5.409968626676589e-01  1.463388027081249e-01  4.421706061192117e-02
9.5900  -5.263964307729721e-02  -5.207260808631851e-01  1.355778256455662e-01  5.469600578466575e-02
9.6000  -5.773703957330015e-02  -4.984215189560398e-01  1.242120052792230e-01  6.580195017176789e-02
9.6100  -6.260159339590078e-02  -4.741731916273447e-01  1.124201078290313e-01  7.735715977301558e-02
9.6200  -6.721434869574265e-02  -4.480786909083300e-01  1.003872566230614e-01  8.917717910877425e-02
9.6300  -7.155736180687614e-02  -4.202427936481227e-01  8.830200280658930e-02  1.010737507140719e-01
9.6400  -7.561377101513679e-02  -3.907770410328474e-01  7.635334789919386e-02  1.128577886991929e-01
9.6500  -7.936786198895522e-02  -3.597992918425961e-01  6.472776520521681e-02  1.243423594207925e-01
9.6600  -8.280512861883713e-02  -3.274332512347200e-01  5.360626700706964e-02  1.353456222893362e-01
9.6700  -8.591232903011711e-02  -2.938079769366574e-01  4.316156365580572e-02  1.456936844605698e-01
9.6800  -8.867753655286437e-02  -2.590573648187305e-01  3.355535913341243e-02  1.552233246078797e-01
9.6900  -9.109018545292608e-02  -2.233196158967166e-01  2.493582542212852e-02  1.637845431245303e-01
9.7000  -9.314111124895534e-02  -1.867366868852005e-01  1.743529511443071e-02  1.712428989245493e-01
9.7100  -9.482258546180189e-02  -1.494537264854803e-01  1.116820818019837e-02  1.774815964527212e-01
9.7200  -9.612834466475872e-02  -1.116184996458866e-01  6.229344731599391e-03  1.824032905222669e-01
9.7300  -9.705361372577040e-02  -7.338080207758249e-02  2.692371056774667e-03  1.859315811090680e-01
9.7400  -9.759512315572728e-02  -3.489186734506838e-02  6.087212034129244e-04  1.880121751716601e-01
9.7500  -9.775112050030572e-02  3.696231122414534e-03  6.831062255152902e-06  1.886136978579975e-01
9.7600  -9.752137573637122e-02  4.223118073469631e-02  8.917363131232924e-04  1.877281410190810e-01
9.7700  -9.690718065765057e-02  8.056103078747416e-02  3.245039840770180e-03  1.853709426878513e-01
9.7800  -9.591134225810427e-02  1.185347914808776e-01  7.025248395707564e-03  1.815806970085051e-01
9.7900  -9.453817014509794e-02  1.560030285489590e-01  1.216847245822366e-02  1.764184999246081e-01
9.8000  -9.279345803798980e-02  1.928184511589389e-01  1.858947755366605e-02  1.699669416623389e-01
9.8100  -9.068445943102581e-02  2.288364907679222e-01  2.618306975348867e-02  1.623287625878276e-01
9.8200  -8.821985752237481e-02  2.639158686627829e-01  3.482579286601565e-02  1.536251942879206e-01
9.8300  -8.540972953365165e-02  2.979191499558272e-01  4.437790995520132e-02  1.439940126392944e-01
9.8400  -8.226550556627905e-02  3.307132818644964e-01  5.468563740079291e-02  1.335873341149480e-01
9.8500  -7.879992216244287e-02  3.621701141675374e-01  6.558359579806353e-02  1.225691905599177e-01
9.8600  -7.502697075911531e-02  3.921668998024780e-01  7.689743865034343e-02  1.111129210878466e-01
9.8700  -7.096184124357748e-02  4.205867736496142e-01  8.844661708449589e-02  9.939842255404800e-02
9.8800  -6.662086083798636e-02  4.473192076357136e-01  1.000472367599213e-01  8.760930220597529e-02
9.8900  -6.202142855872912e-02  4.722604403859181e-01  1.115149617767506e-01  7.592997756607704e-02
9.9000  -5.718194551351721e-02  4.953138797544878e-01  1.226679197387216e-01  6.454276934334101e-02
9.9100  -5.212174131532888e-02  5.163904766736875e-01  1.333295621996391e-01  5.362503318816104e-02
9.9200  -4.686099690734621e-02  5.354090688748074e-01  1.433314355166941e-01  4.334637540165324e-02
9.9300  -4.142066410689670e-02  5.522966931555988e-01  1.525158186353048e-01  3.386599629772691e-02
9.9400  -3.582238218904328e-02  5.669888649938035e-01  1.607381865134808e-01  2.533020281775850e-02
9.9500  -3.008839184182356e-02  5.794298244364577e-01  1.678694607232321e-01  1.787012924805240e-02
9.9600  -2.424144683517477e-02  5.895727473287508e-01  1.737980121963855e-01  1.159970153402456e-02
9.9700  -1.830472375425807e-02  5.973799210838746e-01  1.784313850570881e-01  6.613876776301126e-03
9.9800  -1.230173015517981e-02  6.028228843359688e-01  1.816977149395684e-01  2.987185095370813e-03
9.9900  -6.256211506973021e-03  6.058825299613878e-01  1.835468200562060e-01  7.725962333433822e-04
10.0000  -1.920572881260270e-04  6.065491710985323e-01  1.839509484801583e-01  7.281004938223138e-07
10.0100  5.866793391087828e-03  6.048225699428036e-01  1.829051705561088e-01  6.794090526066354e-04
10.0200  1.189644626772604e-02  6.007119292403070e-01  1.804274109658058e-01  2.793600088614747e-03
10.0300  1.787314613395748e-02  5.942358465511384e-01  1.765581206631740e-01  6.305677475175391e-03
10.0400  2.377337040216947e-02  5.854222314998794e-01  1.713595945671492e-01  1.115607062534524e-02
10.0500  2.957392165896975e-02  5.743081863767038e-01  1.649149464696494e-01  1.726424447188189e-02
10.0600  3.525201884400799e-02  5.609398505967068e-01  1.573267579937279e-01  2.453001016973950e-02
10.0700  4.078538669533015e-02  5.453722096671204e-01  1.487154235385988e-01  3.283514282185172e-02
10.0800  4.615234311017475e-02  5.276688694514309e-01  1.392172178940756e-01  4.204528012776280e-02
