# omega0=1, alpha=0.2
# theta0=-0.8001, theta_dot0=0.1234
# t_start=0, t_end=200, h=0.0116355
#   t          x(t)                 v(t)       
6.550802459152735e+01 -6.061607961058236e-01 5.294575165404961e-01
6.562437987499365e+01 -5.455983754429711e-01 5.114411851455248e-01
6.574073515845996e+01 -4.871594257121836e-01 4.930028164289110e-01
6.585709044192626e+01 -4.308769342349767e-01 4.744224828818276e-01
6.597344572539257e+01 -3.767504240554968e-01 4.559938164594226e-01
6.608980100885887e+01 -3.247449057354351e-01 4.380148809840567e-01
6.620615629232518e+01 -2.747908931561588e-01 4.207790708618838e-01
6.632251157579148e+01 -2.267854600108960e-01 4.045663776268381e-01
6.643886685925779e+01 -1.805942765414644e-01 3.896353187617887e-01
6.655522214272409e+01 -1.360545350617843e-01 3.762157663419247e-01
6.667157742619040e+01 -9.297864866978164e-02 3.645028528400459e-01
6.678793270965670e+01 -5.115859034126503e-02 3.546520732311772e-01
6.690428799312301e+01 -1.037072886013760e-02 3.467756500168102e-01
6.702064327658931e+01 2.961898702484939e-02 3.409401829600588e-01
6.713699856005562e+01 6.904964515318092e-02 3.371655686978706e-01
6.725335384352192e+01 1.081599326680097e-01 3.354251463450134e-01
6.736970912698823e+01 1.471827838585295e-01 3.356470023495050e-01
6.748606441045453e+01 1.863402432235805e-01 3.377163494630450e-01
6.760241969392084e+01 2.258386630131944e-01 3.414788789904030e-01
6.771877497738714e+01 2.658643419217713e-01 3.467449709576819e-01
6.783513026085345e+01 3.065796973469661e-01 3.532946324088368e-01
6.795148554431975e+01 3.481200476673233e-01 3.608830191926318e-01
6.806784082778606e+01 3.905910632821721e-01 3.692463814723341e-01
6.818419611125236e+01 4.340669257059546e-01 3.781082585643767e-01
6.830055139471867e+01 4.785892129495478e-01 3.871857359661492e-01
6.841690667818497e+01 5.241665070746654e-01 3.961955683901035e-01
6.853326196165128e+01 5.707746967231373e-01 4.048599693272020e-01
6.864961724511758e+01 6.183579243868095e-01 4.129118720914239e-01
6.876597252858389e+01 6.668301061913731e-01 4.200994810165759e-01
6.888232781205019e+01 7.160769321567856e-01 4.261899553221303e-01
6.899868309551650e+01 7.659582384476562e-01 4.309721019780361e-01
6.911503837898280e+01 8.163106311350535e-01 4.342579963921953e-01
6.923139366244911e+01 8.669502343378926e-01 4.358834985343873e-01
6.934774894591541e+01 9.176754348469086e-01 4.357076839297628e-01
6.946410422938172e+01 9.682695005927549e-01 4.336112600277264e-01
6.958045951284802e+01 1.018502961291442e+00 4.294940849708777e-01
6.969681479631433e+01 1.068135655554220e+00 4.232719444147675e-01
6.981317007978063e+01 1.116918368614541e+00 4.148727703470759e-01
6.992952536324694e+01 1.164594007315749e+00 4.042325025890285e-01
7.004588064671324e+01 1.210898282766116e+00 3.912907989118831e-01
7.016223593017955e+01 1.255559894832106e+00 3.759867947880998e-01
7.027859121364585e+01 1.298300235351216e+00 3.582551010515002e-01
7.039494649711216e+01 1.338832647861207e+00 3.380222101708963e-01
7.051130178057846e+01 1.376861300393258e+00 3.152034627611018e-01
7.062765706404477e+01 1.412079744479160e+00 2.897007086377044e-01
7.074401234751107e+01 1.444169248358232e+00 2.614007841217142e-01
7.086036763097738e+01 1.472797006134771e+00 2.301749218564323e-01
7.097672291444368e+01 1.497614338275610e+00 1.958792129148052e-01
7.109307819790999e+01 1.518255013462936e+00 1.583562545367790e-01
7.120943348137629e+01 1.534333838622780e+00 1.174381407123122e-01
7.132578876484260e+01 1.545445684103311e+00 7.295098628061945e-02
7.144214404830890e+01 1.551165135486648e+00 2.472121613932981e-02
7.155849933177521e+01 1.551046993035955e+00 -2.741610457993505e-02
7.167485461524151e+01 1.544627874313997e+00 -8.360658306555159e-02
7.179120989870782e+01 1.531429213991980e+00 -1.439631127841529e-01
7.190756518217412e+01 1.510961994533813e+00 -2.085494558009317e-01
7.202392046564043e+01 1.482733576985886e+00 -2.773605281065450e-01
7.214027574910673e+01 1.446257023628581e+00 -3.502992854934793e-01
7.225663103257304e+01 1.401063300119793e+00 -4.271504109660151e-01
7.237298631603934e+01 1.346716694683018e+00 -5.075514996204077e-01
7.248934159950565e+01 1.282833670771965e+00 -5.909631694940584e-01
7.260569688297196e+01 1.209105148243961e+00 -6.766405177964225e-01
7.272205216643826e+01 1.125321857750568e+00 -7.636095538047463e-01
7.283840744990457e+01 1.031401914962383e+00 -8.506535337562734e-01
7.295476273337087e+01 9.274191207350323e-01 -9.363152161283567e-01
7.307111801683718e+01 8.136297582150587e-01 -1.018921501729277e+00
7.318747330030348e+01 6.904949356746986e-01 -1.096636157109637e+00
7.330382858376979e+01 5.586949881881438e-01 -1.167543804326144e+00
